"id"|"name"|"sex"|"vocative"
"83"|"Fatima"|"f"|"Fatimo"
"84"|"Faustyna"|"f"|"Faustyno"
"85"|"Felicja"|"f"|"Felicjo"
"86"|"Felicyta"|"f"|"Felicyto"
"87"|"Filomena"|"f"|"Filomeno"
"88"|"Flora"|"f"|"Floro"
"89"|"Florentyna"|"f"|"Florentyno"
"90"|"Franciszka"|"f"|"Franciszko"
"91"|"Fryderyka"|"f"|"Fryderyko"
"92"|"Gabriela"|"f"|"Gabrielo"
"93"|"Gaja"|"f"|"Gajo"
"94"|"Genowefa"|"f"|"Genowefo"
"95"|"Gertruda"|"f"|"Gertrudo"
"96"|"Gizela"|"f"|"Gizelo"
"97"|"Gracja"|"f"|"Gracjo"
"98"|"Grażyna"|"f"|"Grażyno"
"99"|"Grzymisława"|"f"|"Grzymisławo"
"100"|"Halina"|"f"|"Halino"
"101"|"Hanna"|"f"|"Hanno"
"102"|"Helena"|"f"|"Heleno"
"103"|"Helga"|"f"|"Helgo"
"104"|"Henrieta"|"f"|"Henrieto"
"105"|"Henryka"|"f"|"Henryko"
"106"|"Hestia"|"f"|"Hestio"
"107"|"Hiacynta"|"f"|"Hiacynto"
"108"|"Hilaria"|"f"|"Hilario"
"109"|"Honorata"|"f"|"Honorato"
"110"|"Ida"|"f"|"Ido"
"111"|"Iga"|"f"|"Igo"
"112"|"Ilia"|"f"|"Ilio"
"113"|"Ilona"|"f"|"Ilono"
"114"|"Inga"|"f"|"Ingo"
"115"|"Inka"|"f"|"Inko"
"116"|"Irena"|"f"|"Ireno"
"117"|"Iryda"|"f"|"Irydo"
"118"|"Irma"|"f"|"Irmo"
"119"|"Irmina"|"f"|"Irmino"
"120"|"Iwona"|"f"|"Iwono"
"121"|"Izabela"|"f"|"Izabelo"
"122"|"Jadwiga"|"f"|"Jadwigo"
"123"|"Jagoda"|"f"|"Jagodo"
"124"|"Jagna"|"f"|"Jagno"
"125"|"Jana"|"f"|"Jano"
"126"|"Janina"|"f"|"Janino"
"127"|"Joanna"|"f"|"Joanno"
"128"|"Jolanta"|"f"|"Jolanto"
"129"|"Jowita"|"f"|"Jowito"
"130"|"Józefina"|"f"|"Józefino"
"131"|"Judyta"|"f"|"Judyto"
"132"|"Julia"|"f"|"Julio"
"133"|"Justyna"|"f"|"Justyno"
"134"|"Kama"|"f"|"Kamo"
"135"|"Kalina"|"f"|"Kalino"
"136"|"Kamila"|"f"|"Kamilo"
"137"|"Karina"|"f"|"Karino"
"138"|"Karolina"|"f"|"Karolino"
"139"|"Katarzyna"|"f"|"Katarzyno"
"140"|"Kasandra"|"f"|"Kasandro"
"141"|"Kinga"|"f"|"Kingo"
"142"|"Klarysa"|"f"|"Klaryso"
"143"|"Klaudia"|"f"|"Klaudio"
"144"|"Klementyna"|"f"|"Klementyno"
"145"|"Kleopatra"|"f"|"Kleopatro"
"146"|"Klotylda"|"f"|"Klotyldo"
"147"|"Konstancja"|"f"|"Konstancjo"
"148"|"Krystyna"|"f"|"Krystyno"
"149"|"Krzysztofa"|"f"|"Krzysztofo"
"150"|"Ksenia"|"f"|"Kseniu"
"151"|"Kwiatosława"|"f"|"Kwiatosławo"
"152"|"Kwietosława"|"f"|"Kwietosławo"
"153"|"Laurencja"|"f"|"Laurencjo"
"154"|"Lena"|"f"|"Leno"
"155"|"Leontyna"|"f"|"Leontyno"
"156"|"Leopolda"|"f"|"Leopoldo"
"157"|"Lidia"|"f"|"Lidio"
"158"|"Ligia"|"f"|"Ligio"
"159"|"Lilianna"|"f"|"Lilianno"
"160"|"Linda"|"f"|"Lindo"
"161"|"Lora"|"f"|"Loro"
"162"|"Ludmiła"|"f"|"Ludmiło"
"163"|"Ludwika"|"f"|"Ludwiko"
"164"|"Luiza"|"f"|"Luizo"
"165"|"Luna"|"f"|"Luno"
"166"|"Lilianna"|"f"|"Lilianno"
"167"|"Łucja"|"f"|"Łucjo"
"168"|"Magda"|"f"|"Magdo"
"169"|"Magdalena"|"f"|"Magdaleno"
"170"|"Maja"|"f"|"Maju"
"171"|"Malwina"|"f"|"Malwino"
"172"|"Małgorzata"|"f"|"Małgorzato"
"173"|"Marcela"|"f"|"Marcelo"
"174"|"Maria"|"f"|"Mario"
"175"|"Marianna"|"f"|"Marianno"
"176"|"Marietta"|"f"|"Marietto"
"177"|"Marika"|"f"|"Mariko"
"178"|"Mariola"|"f"|"Mariolu"
"179"|"Marta"|"f"|"Marto"
"180"|"Martyna"|"f"|"Martyno"
"181"|"Maryja"|"f"|"Maryjo"
"182"|"Maryla"|"f"|"Marylo"
"183"|"Maryna"|"f"|"Maryno"
"184"|"Marzena"|"f"|"Marzeno"
"185"|"Matylda"|"f"|"Matyldo"
"186"|"Melania"|"f"|"Melanio"
"187"|"Michalina"|"f"|"Michalino"
"188"|"Milena"|"f"|"Mileno"
"189"|"Miłosława"|"f"|"Miłosławo"
"190"|"Minerwa"|"f"|"Minerwo"
"191"|"Mira"|"f"|"Miro"
"192"|"Miranda"|"f"|"Mirando"
"193"|"Mirela"|"f"|"Mirelo"
"194"|"Miriam"|"f"|"Miriam"
"195"|"Monika"|"f"|"Moniko"
"196"|"Nadia"|"f"|"Nadio"
"197"|"Nadzieja"|"f"|"Nadziejo"
"198"|"Natalia"|"f"|"Natalio"
"199"|"Natasza"|"f"|"Nataszo"
"200"|"Nikola"|"f"|"Nikolu"
"201"|"Noemi"|"f"|"Noemi"
"202"|"Nora"|"f"|"Noro"
"203"|"Ofelia"|"f"|"Ofelio"
"204"|"Oktawia"|"f"|"Oktawii"
"205"|"Olga"|"f"|"Olgo"
"206"|"Olimpia"|"f"|"Olimpio"
"207"|"Oriana"|"f"|"Oriano"
"208"|"Pamela"|"f"|"Pamelo"
"209"|"Patrycja"|"f"|"Patrycjo"
"210"|"Pelagia"|"f"|"Pelagio"
"211"|"Petra"|"f"|"Petro"
"212"|"Petronela"|"f"|"Petronelo"
"213"|"Petronia"|"f"|"Petronio"
"214"|"Rafaela"|"f"|"Rafaelo"
"215"|"Rebeka"|"f"|"Rebeko"
"216"|"Regina"|"f"|"Regino"
"217"|"Renata"|"f"|"Renato"
"218"|"Rita"|"f"|"Rito"
"219"|"Roberta"|"f"|"Roberto"
"220"|"Roksana"|"f"|"Roksano"
"221"|"Roma"|"f"|"Romo"
"222"|"Romana"|"f"|"Romano"
"223"|"Rozalia"|"f"|"Rozalio"
"224"|"Róża"|"f"|"Różo"
"225"|"Rut"|"f"|"Rut"
"226"|"Ryksa"|"f"|"Rykso"
"227"|"Ryta"|"f"|"Ryto"
"228"|"Ryszarda"|"f"|"Ryszardo"
"229"|"Salomea"|"f"|"Salomeo"
"230"|"Samara"|"f"|"Samaro"
"231"|"Sandra"|"f"|"Sandro"
"232"|"Sara"|"f"|"Saro"
"233"|"Selena"|"f"|"Seleno"
"234"|"Sława"|"f"|"Sławo"
"235"|"Stefania"|"f"|"Stefanio"
"236"|"Stela"|"f"|"Stelo"
"237"|"Stella"|"f"|"Stello"
"238"|"Sydonia"|"f"|"Sydonio"
"239"|"Tamara"|"f"|"Tamaro"
"240"|"Tatiana"|"f"|"Tatiano"
"241"|"Tekla"|"f"|"Teklo"
"242"|"Telimena"|"f"|"Telimeno"
"243"|"Teofila"|"f"|"Teofilo"
"244"|"Urszula"|"f"|"Urszulo"
"245"|"Waleria"|"f"|"Walerio"
"246"|"Wanda"|"f"|"Wando"
"247"|"Weronika"|"f"|"Weroniko"
"248"|"Wiara"|"f"|"Wiaro"
"249"|"Wiktoria"|"f"|"Wiktorio"
"250"|"Wilhelmina"|"f"|"Wilhelmino"
"251"|"Wioleta"|"f"|"Wioleto"
"252"|"Wisława"|"f"|"Wisławo"
"253"|"Władysława"|"f"|"Władysławo"
"254"|"Zefiryna"|"f"|"Zefiryno"
"255"|"Zofia"|"f"|"Zofio"
"256"|"Zoja"|"f"|"Zoju"
"257"|"Zuzanna"|"f"|"Zuzanno"
"258"|"Żaneta"|"f"|"Żaneto"
"259"|"Aaron"|"m"|"Aaronie"
"260"|"Abdon"|"m"|"Abdonie"
"261"|"Abel"|"m"|"Ablu"
"262"|"Abelard"|"m"|"Abelardzie"
"263"|"Abraham"|"m"|"Abrahamie"
"264"|"Achilles"|"m"|"Achillesie"
"265"|"Adam"|"m"|"Adamie"
"266"|"Adrian"|"m"|"Adrianie"
"267"|"Agapit"|"m"|"Agapicie"
"268"|"Agaton"|"m"|"Agatonie"
"269"|"Albert"|"m"|"Albercie"
"270"|"Alan"|"m"|"Alanie"
"271"|"Albin"|"m"|"Albinie"
"272"|"Aleksander"|"m"|"Aleksandrze"
"273"|"Aleksy"|"m"|"Aleksy"
"274"|"Alfons"|"m"|"Alfonsie"
"275"|"Alfred"|"m"|"Alfredzie"
"276"|"Alojzy"|"m"|"Alojzy"
"277"|"Amadeusz"|"m"|"Amadeuszu"
"278"|"Ambroży"|"m"|"Ambroży"
"279"|"Anastazy"|"m"|"Anastazy"
"280"|"Ananiasz"|"m"|"Ananiaszu"
"281"|"Anatol"|"m"|"Anatolu"
"282"|"Andrzej"|"m"|"Andrzeju"
"283"|"Anioł"|"m"|"Aniole"
"284"|"Annasz"|"m"|"Annaszu"
"285"|"Antoni"|"m"|"Antoni"
"286"|"Antonin"|"m"|"Antoninie"
"287"|"Anzelm"|"m"|"Anzelmie"
"288"|"Apollo"|"m"|"Apollu"
"289"|"Ariel"|"m"|"Arielu"
"290"|"Arkadiusz"|"m"|"Arkadiuszu"
"291"|"Arkady"|"m"|"Arkady"
"292"|"Arnold"|"m"|"Arnoldzie"
"293"|"Artur"|"m"|"Arturze"
"294"|"August"|"m"|"Auguście"
"295"|"Augustyn"|"m"|"Augustynie"
"296"|"Aurelian"|"m"|"Aurelianie"
"297"|"Baltazar"|"m"|"Baltazarze"
"298"|"Barabasz"|"m"|"Barabaszu"
"299"|"Barnaba"|"m"|"Barnabo"
"300"|"Bartłomiej"|"m"|"Bartłomieju"
"301"|"Bazyli"|"m"|"Bazyli"
"302"|"Benedykt"|"m"|"Benedykcie"
"303"|"Beniamin"|"m"|"Beniaminie"
"304"|"Benon"|"m"|"Benonie"
"305"|"Bernard"|"m"|"Bernardzie"
"306"|"Błażej"|"m"|"Błażeju"
"307"|"Bogdan"|"m"|"Bogdanie"
"308"|"Boguchwał"|"m"|"Boguchwale"
"309"|"Bolesław"|"m"|"Bolesławie"
"310"|"Bonawentura"|"m"|"Bonawenturo"
"311"|"Bonifacy"|"m"|"Bonifacy"
"312"|"Borys"|"m"|"Borysie"
"313"|"Borysław"|"m"|"Borysławiu"
"314"|"Bożydar"|"m"|"Bożydarze"
"315"|"Bronisław"|"m"|"Bronisławie"
"316"|"Bruno"|"m"|"Brunonie"
"317"|"Brunon"|"m"|"Brunonie"
"318"|"Celestyn"|"m"|"Celestynie"
"319"|"Cezary"|"m"|"Cezary"
"320"|"Ciechosław"|"m"|"Ciechosławie"
"321"|"Cyryl"|"m"|"Cyrylu"
"322"|"Dacjusz"|"m"|"Dacjuszu"
"323"|"Damian"|"m"|"Damianie"
"324"|"Daniel"|"m"|"Danielu"
"325"|"Dariusz"|"m"|"Dariuszu"
"326"|"Dawid"|"m"|"Dawidzie"
"327"|"Dobrosław"|"m"|"Dobrosławie"
"328"|"Dominik"|"m"|"Dominiku"
"329"|"Donald"|"m"|"Donaldzie"
"330"|"Donat"|"m"|"Donacie"
"331"|"Dorian"|"m"|"Dorianie"
"332"|"Dymitr"|"m"|"Dymitrze"
"333"|"Edgar"|"m"|"Edgarze"
"334"|"Edmund"|"m"|"Edmundzie"
"335"|"Edward"|"m"|"Edwardzie"
"336"|"Efraim"|"m"|"Efraimie"
"337"|"Efrem"|"m"|"Efremie"
"338"|"Eliasz"|"m"|"Eliaszu"
"339"|"Eligiusz"|"m"|"Eligiuszu"
"340"|"Emanuel"|"m"|"Emanuelu"
"341"|"Emil"|"m"|"Emilu"
"342"|"Emir"|"m"|"Emirze"
"343"|"Ernest"|"m"|"Erneście"
"344"|"Erwin"|"m"|"Erwinie"
"345"|"Eugeniusz"|"m"|"Eugeniuszu"
"346"|"Eryk"|"m"|"Eryku"
"347"|"Ewaryst"|"m"|"Ewaryście"
"348"|"Ezaw"|"m"|"Ezawie"
"349"|"Ezechiel"|"m"|"Ezechielu"
"350"|"Fabian"|"m"|"Fabianie"
"351"|"Faustyn"|"m"|"Faustynie"
"352"|"Felicjan"|"m"|"Felicjanie"
"353"|"Feliks"|"m"|"Feliksie"
"354"|"Ferdynand"|"m"|"Ferdynandzie"
"355"|"Filip"|"m"|"Filipie"
"356"|"Florentyn"|"m"|"Florentynie"
"357"|"Florian"|"m"|"Florianie"
"358"|"Franciszek"|"m"|"Franciszku"
"359"|"Fryc"|"m"|"Frycu"
"360"|"Fryderyk"|"m"|"Fryderyku"
"361"|"Gabriel"|"m"|"Gabrielu"
"362"|"Gaweł"|"m"|"Gawle"
"363"|"Gerwazy"|"m"|"Gerwazy"
"364"|"Gilbert"|"m"|"Gilbercie"
"365"|"Godehard"|"m"|"Godehardzie"
"366"|"Godfryd"|"m"|"Godfrydzie"
"367"|"Gotard"|"m"|"Gotardzie"
"368"|"Gotszalk"|"m"|"Gotszalku"
"369"|"Gracjan"|"m"|"Gracjanie"
"370"|"Grzegorz"|"m"|"Grzegorzu"
"371"|"Gualfard"|"m"|"Gualfardzie"
"372"|"Gustaw"|"m"|"Gustawie"
"373"|"Hadrian"|"m"|"Hadrianie"
"374"|"Henryk"|"m"|"Henryku"
"375"|"Herakles"|"m"|"Heraklesie"
"376"|"Herakliusz"|"m"|"Herakliuszu"
"377"|"Herbert"|"m"|"Herbercie"
"378"|"Hermes"|"m"|"Hermesie"
"379"|"Hiacynt"|"m"|"Hiacyncie"
"380"|"Hieronim"|"m"|"Hieronimie"
"381"|"Hilary"|"m"|"Hilary"
"382"|"Horacy"|"m"|"Horacy"
"383"|"Hugo"|"m"|"Hugonie"
"384"|"Hugon"|"m"|"Hugonie"
"385"|"Idzi"|"m"|"Idzi"
"386"|"Ignacy"|"m"|"Ignacy"
"387"|"Igor"|"m"|"Igorze"
"388"|"Ildefons"|"m"|"Ildefonsie"
"389"|"Ireneusz"|"m"|"Ireneuszu"
"390"|"Iwo"|"m"|"Iwonie"
"391"|"Iwon"|"m"|"Iwon"
"392"|"Izajasz"|"m"|"Izajaszu"
"393"|"Izydor"|"m"|"Izydorze"
"394"|"Jacek"|"m"|"Jacku"
"395"|"Jakub"|"m"|"Jakubie"
"396"|"Jan"|"m"|"Janie"
"397"|"Janusz"|"m"|"Januszu"
"398"|"Jaromir"|"m"|"Jaromirze"
"399"|"Jarosław"|"m"|"Jarosławie"
"400"|"Jeremiasz"|"m"|"Jeremiaszu"
"401"|"Jerzy"|"m"|"Jerzy"
"402"|"Jędrzej"|"m"|"Jędrzeju"
"403"|"Joachim"|"m"|"Joachimie"
"404"|"Jonasz"|"m"|"Jonaszu"
"405"|"Jonatan"|"m"|"Jonatanie"
"406"|"Jozafat"|"m"|"Jozafacie"
"407"|"Józef"|"m"|"Józefie"
"408"|"Juliusz"|"m"|"Juliuszu"
"409"|"Jur"|"m"|"Jurze"
"410"|"Justyn"|"m"|"Justynie"
"411"|"Kacper"|"m"|"Kacprze"
"412"|"Kajetan"|"m"|"Kajetanie"
"413"|"Kajusz"|"m"|"Kajuszie"
"414"|"Kamil"|"m"|"Kamilu"
"415"|"Karol"|"m"|"Karolu"
"416"|"Kastor"|"m"|"Kastorze"
"417"|"Kazimierz"|"m"|"Kazimierzu"
"418"|"Klemens"|"m"|"Klemensie"
"419"|"Konrad"|"m"|"Konradzie"
"420"|"Konstantyn"|"m"|"Konstantynie"
"421"|"Kordian"|"m"|"Kordianie"
"422"|"Kornel"|"m"|"Kornelu"
"423"|"Kosma"|"m"|"Kosmo"
"424"|"Kryspin"|"m"|"Kryspinie"
"425"|"Krystian"|"m"|"Krystianie"
"426"|"Krzesimir"|"m"|"Krzesimirze"
"427"|"Krzysztof"|"m"|"Krzysztofie"
"428"|"Ksawery"|"m"|"Ksawery"
"429"|"Kwiatosław"|"m"|"Kwiatosławie"
"430"|"Kwietosław"|"m"|"Kwietosławie"
"431"|"Lech"|"m"|"Lechu"
"432"|"Leo"|"m"|"Leo"
"433"|"Leon"|"m"|"Leonie"
"434"|"Leonard"|"m"|"Leonardzie"
"435"|"Leopold"|"m"|"Leopoldzie"
"436"|"Lesław"|"m"|"Lesławie"
"437"|"Lew"|"m"|"Lwie"
"438"|"Lubomir"|"m"|"Lubomirze"
"439"|"Ludwik"|"m"|"Ludwiku"
"440"|"Łazarz"|"m"|"Łazarzu"
"441"|"Łucjan"|"m"|"Łucjanie"
"442"|"Łukasz"|"m"|"Łukaszu"
"443"|"Maciej"|"m"|"Macieju"
"444"|"Magnus"|"m"|"Magnusie"
"445"|"Maksymilian"|"m"|"Maksymilianie"
"446"|"Maksymin"|"m"|"Maksyminie"
"447"|"Malachiasz"|"m"|"Malachiaszu"
"448"|"Manuel"|"m"|"Manuelu"
"449"|"Marcel"|"m"|"Marcelu"
"450"|"Marceli"|"m"|"Marceli"
"451"|"Marcin"|"m"|"Marcinie"
"452"|"Marek"|"m"|"Marku"
"453"|"Marian"|"m"|"Marianie"
"454"|"Mariusz"|"m"|"Mariuszu"
"455"|"Mateusz"|"m"|"Mateuszu"
"456"|"Maurycy"|"m"|"Maurycy"
"457"|"Medard"|"m"|"Medardzie"
"458"|"Melchior"|"m"|"Melchiorze"
"459"|"Metody"|"m"|"Metody"
"460"|"Michał"|"m"|"Michale"
"461"|"Mieczysław"|"m"|"Mieczysławie"
"462"|"Mikołaj"|"m"|"Mikołaju"
"463"|"Miłosz"|"m"|"Miłoszu"
"464"|"Mirosław"|"m"|"Mirosławie"
"465"|"Modest"|"m"|"Modeście"
"466"|"Mojmir"|"m"|"Mojmirze"
"467"|"Mojżesz"|"m"|"Mojżeszu"
"468"|"Napoleon"|"m"|"Napoleonie"
"469"|"Narcyz"|"m"|"Narcyzie"
"470"|"Natan"|"m"|"Natanie"
"471"|"Natanael"|"m"|"Natanaelu"
"472"|"Nestor"|"m"|"Nestorze"
"473"|"Nikodem"|"m"|"Nikodemie"
"474"|"Norbert"|"m"|"Norbercie"
"475"|"Norman"|"m"|"Normanie"
"476"|"Oktawian"|"m"|"Oktawianie"
"477"|"Olaf"|"m"|"Olafie"
"478"|"Olgierd"|"m"|"Olgierdzie"
"479"|"Omar"|"m"|"Omarze"
"480"|"Oskar"|"m"|"Oskarze"
"481"|"Otto"|"m"|"Ottonie"
"482"|"Otton"|"m"|"Ottonie"
"483"|"Owidiusz"|"m"|"Owidiuszu"
"484"|"Ozeasz"|"m"|"Ozeaszu"
"485"|"Pachomiusz"|"m"|"Pachomiuszu"
"486"|"Pafnucy"|"m"|"Pafnucy"
"487"|"Pakosław"|"m"|"Pakosławie"
"488"|"Pankracy"|"m"|"Pankracy"
"489"|"Patryk"|"m"|"Patryku"
"490"|"Paweł"|"m"|"Pawle"
"491"|"Pelagiusz"|"m"|"Pelagiuszu"
"492"|"Petroniusz"|"m"|"Petroniuszu"
"493"|"Piotr"|"m"|"Piotrze"
"494"|"Polikarp"|"m"|"Polikarpie"
"495"|"Prokop"|"m"|"Prokopie"
"496"|"Prot"|"m"|"Procie"
"497"|"Przemysł"|"m"|"Przemyśle"
"498"|"Przemysław"|"m"|"Przemysławie"
"499"|"Radomił"|"m"|"Radomile"
"500"|"Radosław"|"m"|"Radosławie"
"501"|"Radzimir"|"m"|"Radzimirze"
"502"|"Rafał"|"m"|"Rafale"
"503"|"Rajmund"|"m"|"Rajmundzie"
"504"|"Randoald"|"m"|"Randoaldzie"
"505"|"Remigiusz"|"m"|"Remigiuszu"
"506"|"Richariusz"|"m"|"Richariuszu"
"507"|"Robert"|"m"|"Robercie"
"508"|"Roch"|"m"|"Rochu"
"509"|"Roland"|"m"|"Rolandzie"
"510"|"Roman"|"m"|"Romanie"
"511"|"Romuald"|"m"|"Romualdzie"
"512"|"Ronald"|"m"|"Ronaldzie"
"513"|"Rudolf"|"m"|"Rudolfie"
"514"|"Rufus"|"m"|"Rufusie"
"515"|"Ryszard"|"m"|"Ryszardzie"
"516"|"Salomon"|"m"|"Salomonie"
"517"|"Sambor"|"m"|"Samborze"
"518"|"Samson"|"m"|"Samsonie"
"519"|"Samuel"|"m"|"Samuelu"
"520"|"Sebastian"|"m"|"Sebastianie"
"521"|"Serafin"|"m"|"Serafinie"
"522"|"Sergiusz"|"m"|"Sergiuszu"
"523"|"Seweryn"|"m"|"Sewerynie"
"524"|"Skałosz"|"m"|"Skałoszu"
"525"|"Sławek"|"m"|"Sławku"
"526"|"Sławomir"|"m"|"Sławomirze"
"527"|"Starwit"|"m"|"Starwicie"
"528"|"Stefan"|"m"|"Stefanie"
"529"|"Sydoniusz"|"m"|"Sydoniuszu"
"530"|"Sykstus"|"m"|"Sykstusie"
"531"|"Sylwan"|"m"|"Sylwanie"
"532"|"Sylwester"|"m"|"Sylwestrze"
"533"|"Symplicjusz"|"m"|"Symplicjuszu"
"534"|"Syriusz"|"m"|"Syriuszu"
"535"|"Szczepan"|"m"|"Szczepanie"
"536"|"Szymon"|"m"|"Szymonie"
"537"|"Świętopełk"|"m"|"Świętopełku"
"538"|"Tadeusz"|"m"|"Tadeuszu"
"539"|"Telesfor"|"m"|"Telesforze"
"540"|"Teodor"|"m"|"Teodorze"
"541"|"Teofil"|"m"|"Teofilu"
"542"|"Tobiasz"|"m"|"Tobiaszu"
"543"|"Tomasz"|"m"|"Tomaszu"
"544"|"Tomisław"|"m"|"Tomisławie"
"545"|"Tristan"|"m"|"Tristanie"
"546"|"Tymon"|"m"|"Tymonie"
"547"|"Tymoteusz"|"m"|"Tymoteuszu"
"548"|"Tytus"|"m"|"Tytusie"
"549"|"Urban"|"m"|"Urbanie"
"550"|"Ursyn"|"m"|"Ursynie"
"551"|"Wacław"|"m"|"Wacławie"
"552"|"Wahid"|"m"|"Wahidzie"
"553"|"Waldemar"|"m"|"Waldemarze"
"554"|"Walenty"|"m"|"Walenty"
"555"|"Walerian"|"m"|"Walerianie"
"556"|"Waryn"|"m"|"Warynie"
"557"|"Wawrzyniec"|"m"|"Wawrzyńcze"
"558"|"Wiesław"|"m"|"Wiesławie"
"559"|"Wiktor"|"m"|"Wiktorze"
"560"|"Wilhelm"|"m"|"Wilhelmie"
"561"|"Wincenty"|"m"|"Wincenty"
"562"|"Wit"|"m"|"Wicie"
"563"|"Witosław"|"m"|"Witosławie"
"564"|"Władysław"|"m"|"Władysławie"
"565"|"Włodzimierz"|"m"|"Włodzimierzu"
"566"|"Włodzisław"|"m"|"Włodzisławie"
"567"|"Wojciech"|"m"|"Wojciechu"
"568"|"Wojsław"|"m"|"Wojsławie"
"569"|"Wrocisław"|"m"|"Wrocisławie"
"570"|"Zachariasz"|"m"|"Zachariaszu"
"571"|"Zbigniew"|"m"|"Zbigniewie"
"572"|"Zdzisław"|"m"|"Zdzisławie"
"573"|"Zefiryn"|"m"|"Zefirynie"
"574"|"Zenon"|"m"|"Zenonie"
"575"|"Ziemowit"|"m"|"Ziemowicie"
"576"|"Zygbert"|"m"|"Zygbercie"
"577"|"Zygfryd"|"m"|"Zygfrydzie"
"578"|"Zygmunt"|"m"|"Zygmuncie"
"579"|"Wiesława"|"f"|"Wiesławo"
